The video is over!
Time of video Queue Density, Dynamic Density
59.2822, 0.663164, 0
59.3488, 0.662481, 0
59.4154, 0.663754, 0
59.482, 0.662384, 0
59.5486, 0.663704, 0
59.6152, 0.663549, 0
59.6818, 0.664691, 0
59.7484, 0.666026, 0
59.815, 0.666084, 0
59.8817, 0.666755, 0
59.9483, 0.666813, 0
60.0149, 0.667523, 0
60.0815, 0.669664, 0
60.1481, 0.671235, 0
60.2147, 0.671227, 0
60.2813, 0.682539, 0
60.3479, 0.680316, 0
60.4145, 0.683465, 0
60.4811, 0.68358, 0
60.5477, 0.683897, 0
60.6144, 0.683742, 0
60.681, 0.682978, 0
60.7476, 0.682894, 0
60.8142, 0.684325, 0
60.8808, 0.683491, 0
60.9474, 0.682851, 0
61.014, 0.681161, 0
61.0806, 0.68115, 0
61.1472, 0.681956, 0
61.2138, 0.679684, 0
61.2804, 0.679823, 0
61.3471, 0.681049, 0
61.4137, 0.682859, 0
61.4803, 0.685031, 0
61.5469, 0.683958, 0
61.6135, 0.682238, 0
61.6801, 0.683738, 0
61.7467, 0.684198, 0
61.8133, 0.687593, 0
61.8799, 0.689167, 0
61.9465, 0.664344, 0
62.0131, 0.664213, 0
62.0798, 0.663843, 0
62.1464, 0.667168, 0
62.213, 0.664448, 0
62.2796, 0.667701, 0
62.3462, 0.668819, 0
62.4128, 0.672033, 0
62.4794, 0.675833, 0
62.546, 0.675174, 0
62.6126, 0.679116, 0
62.6792, 0.677693, 0
62.7458, 0.67936, 0
62.8125, 0.682269, 0
62.8791, 0.682037, 0
62.9457, 0.681481, 0
63.0123, 0.680872, 0
63.0789, 0.680556, 0
63.1455, 0.680031, 0
63.2121, 0.683117, 0
63.2787, 0.68179, 0
63.3453, 0.679271, 0
63.4119, 0.680822, 0
63.4785, 0.677361, 0
63.5452, 0.678113, 0
63.6118, 0.674695, 0
63.6784, 0.674024, 0
63.745, 0.675, 0
63.8116, 0.673935, 0
63.8782, 0.678904, 0
63.9448, 0.676547, 0
64.0114, 0.676285, 0
64.078, 0.679124, 0
64.1446, 0.679653, 0
64.2112, 0.678769, 0
64.2779, 0.681065, 0
64.3445, 0.680448, 0
64.4111, 0.681358, 0
64.4777, 0.680035, 0
64.5443, 0.679757, 0
64.6109, 0.681204, 0
64.6775, 0.682419, 0
64.7441, 0.683843, 0
