The video is over!
Frame Number 	Queue Density
1519		0.687014
1520		0.682847
1521		0.672674
1522		0.656485
1523		0.658137
1524		0.645216
1525		0.650922
1526		0.651034
1527		0.63966
1528		0.642427
1529		0.64142
1530		0.64066
1531		0.635475
1532		0.632087
1533		0.630432
1534		0.625957
1535		0.632184
1536		0.62311
1537		0.631435
1538		0.633287
1539		0.62762
1540		0.629136
1541		0.632384
1542		0.628337
1543		0.619387
1544		0.624298
1545		0.621103
1546		0.61924
1547		0.623673
1548		0.618499
1549		0.615185
1550		0.600768
1551		0.598005
1552		0.592685
1553		0.596358
1554		0.587427
1555		0.581319
1556		0.587782
1557		0.584174
1558		0.582785
1559		0.579595
1560		0.577203
1561		0.552265
1562		0.556424
1563		0.554471
1564		0.556755
1565		0.559294
1566		0.560069
1567		0.560733
1568		0.561852
1569		0.56157
1570		0.562701
1571		0.564012
1572		0.566053
1573		0.568931
1574		0.572442
1575		0.574676
1576		0.579502
1577		0.584182
1578		0.584961
1579		0.587573
1580		0.586809
1581		0.588495
1582		0.590934
1583		0.591779
1584		0.586096
1585		0.586709
1586		0.569965
1587		0.564765
1588		0.566721
1589		0.577114
1590		0.573526
1591		0.579325
1592		0.576084
1593		0.582218
1594		0.581254
1595		0.588407
1596		0.596539
1597		0.591898
1598		0.594923
1599		0.596767
1600		0.603623
1601		0.606547
1602		0.60037
1603		0.603476
1604		0.605463
1605		0.612238
1606		0.621223
1607		0.61843
1608		0.624371
1609		0.630633
1610		0.624664
1611		0.6286
1612		0.624155
1613		0.621543
1614		0.615856
1615		0.613121
1616		0.618129
1617		0.613025
1618		0.597261
1619		0.598009
1620		0.597519
1621		0.593472
1622		0.597527
1623		0.600984
1624		0.591991
1625		0.592531
1626		0.588904
1627		0.592415
1628		0.591296
1629		0.58941
1630		0.592103
1631		0.593866
1632		0.599796
1633		0.604093
1634		0.608434
1635		0.606698
1636		0.630328
1637		0.634514
1638		0.623696
1639		0.622585
1640		0.622326
1641		0.622373
1642		0.621115
1643		0.617901
1644		0.606867
1645		0.604109
1646		0.608731
1647		0.60162
1648		0.602542
1649		0.605891
1650		0.605926
1651		0.603376
1652		0.605764
1653		0.601397
1654		0.601169
1655		0.598576
1656		0.58657
1657		0.587473
1658		0.584564
1659		0.589965
1660		0.587446
1661		0.580062
1662		0.582384
1663		0.591458
1664		0.598897
1665		0.605355
1666		0.605563
1667		0.611069
1668		0.614248
1669		0.614896
1670		0.62005
1671		0.623121
1672		0.621763
1673		0.622801
1674		0.613893
1675		0.612585
1676		0.607959
1677		0.613241
1678		0.609078
1679		0.609032
1680		0.610907
1681		0.615525
1682		0.618796
1683		0.621127
1684		0.624838
1685		0.630093
1686		0.592828
1687		0.590158
1688		0.595988
1689		0.5989
1690		0.604668
1691		0.61287
1692		0.615818
1693		0.614954
1694		0.615035
1695		0.615895
1696		0.621798
1697		0.621258
1698		0.618241
1699		0.624008
1700		0.630135
1701		0.632573
1702		0.637612
1703		0.640069
1704		0.646316
1705		0.649113
1706		0.651474
1707		0.66456
1708		0.661748
1709		0.662627
1710		0.656991
1711		0.694961
1712		0.697569
1713		0.696713
1714		0.70061
1715		0.696034
1716		0.690494
1717		0.686416
1718		0.679151
1719		0.670509
1720		0.654383
1721		0.655216
1722		0.649414
1723		0.637901
1724		0.63392
1725		0.638009
1726		0.63211
1727		0.62865
1728		0.620459
1729		0.602782
1730		0.606026
1731		0.591227
1732		0.579522
1733		0.585629
1734		0.567292
1735		0.572481
1736		0.513121
1737		0.517913
1738		0.518673
1739		0.510397
1740		0.504541
1741		0.493191
1742		0.490328
1743		0.488214
1744		0.477037
1745		0.482076
1746		0.476705
1747		0.47478
1748		0.466485
1749		0.46186
1750		0.450606
1751		0.434498
1752		0.44387
1753		0.437434
1754		0.43787
1755		0.435718
1756		0.43961
1757		0.438769
1758		0.433592
1759		0.437755
1760		0.438773
1761		0.420795
1762		0.43086
1763		0.430652
1764		0.428507
1765		0.430266
1766		0.429564
1767		0.431269
1768		0.43289
1769		0.430224
1770		0.442153
1771		0.441246
1772		0.445343
1773		0.443457
1774		0.440181
1775		0.439151
1776		0.441559
1777		0.436389
1778		0.433156
1779		0.433349
1780		0.43238
1781		0.435359
1782		0.436335
1783		0.428063
1784		0.428607
1785		0.423993
1786		0.393187
1787		0.398071
1788		0.403519
1789		0.400567
1790		0.392809
1791		0.394282
1792		0.391601
1793		0.389784
1794		0.38826
1795		0.386119
1796		0.380397
1797		0.38789
1798		0.383735
1799		0.387789
1800		0.385787
1801		0.386748
1802		0.38414
1803		0.369174
1804		0.371539
1805		0.369005
1806		0.368094
1807		0.355085
1808		0.350139
1809		0.353522
1810		0.341327
1811		0.325556
1812		0.324205
1813		0.320583
1814		0.317813
1815		0.314329
1816		0.306555
1817		0.304556
1818		0.298384
1819		0.30235
1820		0.30142
1821		0.291505
1822		0.28015
1823		0.278333
1824		0.276211
1825		0.282932
1826		0.277801
1827		0.279618
1828		0.276786
1829		0.281582
1830		0.27591
1831		0.274028
1832		0.269367
1833		0.273515
1834		0.260012
1835		0.262384
1836		0.228819
1837		0.221358
1838		0.222554
1839		0.217716
1840		0.214846
1841		0.207122
1842		0.206235
1843		0.199491
1844		0.194564
1845		0.187072
1846		0.177728
1847		0.177164
1848		0.175297
1849		0.169614
1850		0.161667
1851		0.156578
1852		0.157932
1853		0.153457
1854		0.156551
1855		0.154417
1856		0.150856
1857		0.147716
1858		0.15012
1859		0.149633
